name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Heavy Impact,2016-12-20,2016,12,Studio Captivate,Action;Casual;Indie;Simulation;Sports;Early Access,17.09,0-20000,0,7,0.429,True,True,False,False,True,556700,False
Marrow,2016-11-25,2016,11,Fever Dream Gameworks,Action;Adventure;Indie,7.97,0-20000,0,16,0.812,True,True,False,False,True,556710,False
LEGRAND LEGACY: Tale of the Fatebounds,2018-01-24,2018,1,SEMISOFT,Action;Adventure;Indie;RPG,17.66,0-20000,0,196,0.796,True,False,False,False,False,556740,False
Star Phoenix,2016-11-24,2016,11,Blazar Games,Gore;Action;Indie;RPG;Early Access,8.2,0-20000,0,18,0.389,True,True,False,False,True,556770,False
Neptune: Arena FPS,2017-10-20,2017,10,GENOVA Softworks,Action;Casual;Indie,4.55,0-20000,0,55,0.709,True,False,False,False,True,556780,False
Warbands: Bushido,2017-09-15,2017,9,Red Unit Studios,Free to Play;Indie;Strategy,0.0,100000-200000,100000,938,0.677,True,False,True,False,True,556820,True
Gladiator School,2017-11-09,2017,11,Raptor Claw Games,Indie;Simulation;Strategy,8.2,0-20000,0,176,0.756,True,True,False,False,True,556860,False
Charlie's Adventure,2016-11-29,2016,11,Just1337 Studio,Action;Adventure;Casual;Indie,5.69,50000-100000,50000,202,0.639,True,True,True,False,True,556870,False
Dreamcage Escape,2016-11-16,2016,11,Big Loop Studios,Adventure;Casual;Indie,1.81,0-20000,0,40,0.775,True,True,False,False,True,556890,False
Equilibrium Of Divinity,2017-10-16,2017,10,Infernal Anvil Games,Indie;RPG,12.98,0-20000,0,16,0.812,True,False,False,False,True,556920,False
Avenger Bird,2017-01-05,2017,1,TiliaSoft,Adventure;Casual;Indie,3.18,0-20000,0,15,0.6,True,False,False,False,True,557030,False
99Vidas,2016-12-22,2016,12,QUByte Interactive,Action;Indie,11.39,20000-50000,20000,321,0.875,True,True,False,True,True,557040,False
BuildMoreCubes,2016-11-21,2016,11,HA Studio Ltd.,Action;Adventure;Casual;Indie;Strategy,1.93,0-20000,0,20,0.5,True,True,False,False,True,557190,False
iREC,2017-01-16,2017,1,Labory,Indie,0.0,50000-100000,50000,108,0.435,True,False,True,False,True,557260,True
>//:System.Hack,2017-05-11,2017,5,Nullray Gaming,Indie;RPG;Simulation;Early Access,9.45,0-20000,0,21,0.857,True,False,False,False,True,557330,False
Midas Gold Plus,2017-02-01,2017,2,Holyday Studios,Adventure;Casual;Free to Play;Indie;RPG,0.0,200000-500000,200000,1558,0.881,True,False,True,True,True,557400,True
